FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
RNDP11,PAPÉIS,"124,95","22.325,03","1,16","10,45",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"11.477.673,07","106,79","1,17","9,79 %","-44,77 %","-39,36 %","-81,10 %",0,"71,32",1.212,N/A,N/A,N/A
RNGO11,LAJES CORPORATIVAS,"46,50","93.800,64","0,56","0,40","0,85 %","2,63 %","4,94 %","10,10 %","0,88 %","0,82 %","0,84 %","10,10 %","6,49 %","7,39 %","7,29 %","221.150.649,84","82,64","0,56","0,48 %","-4,62 %","-4,16 %","0,29 %",4,"13,32",10.460,N/A,N/A,N/A
ROOF11,FUNDO DE DESENVOLVIMENTO,"720,00","115.920,00","1,29","41,72","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"43.332.895,01",N/A,N/A,N/A,N/A,N/A,N/A,73,"141,69",85,N/A,N/A,N/A
RPRI11,PAPÉIS,"102,64","414.688,53","1,01","0,95","0,92 %","2,77 %","5,47 %","13,20 %","0,92 %","0,91 %","1,10 %","13,20 %","1,76 %","2,70 %","21,41 %","318.834.133,48",N/A,N/A,N/A,N/A,N/A,N/A,0,"18,04",2.769,N/A,N/A,N/A
RRCI11,PAPÉIS,"84,93","34.984,61","0,91","0,90","1,09 %","3,34 %","6,74 %","13,91 %","1,11 %","1,12 %","1,16 %","13,91 %","-0,29 %","0,80 %","8,19 %","44.292.880,82","91,94","0,92","0,98 %","-2,27 %","-1,32 %","9,95 %",0,"12,33",2.102,N/A,N/A,N/A
RSPD11,FUNDO DE DESENVOLVIMENTO,"1.013,00","1.504.752,33","0,97","8,22",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"155.575.947,95","1.130,10","0,90","0,98 %","-1,08 %","-0,11 %","-0,11 %",0,"86,96",118,N/A,N/A,N/A
RURA11,MISTO,"10,29","2.346.428,06",N/A,"0,10","0,91 %","2,94 %","6,41 %","13,12 %","0,98 %","1,07 %","1,09 %","13,12 %","2,03 %","2,96 %","21,42 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"12,32",0,N/A,N/A,N/A
RVBI11,FUNDO DE FUNDOS,"84,34","195.518,44","0,98","0,75","0,89 %","2,61 %","5,25 %","11,27 %","0,87 %","0,88 %","0,94 %","11,27 %","3,00 %","3,92 %","28,86 %","123.988.740,85","86,10","0,98","0,87 %","2,48 %","3,37 %","9,81 %",0,"16,18",12.293,N/A,N/A,N/A
RZAG11,INDEFINIDO,"9,19","2.139.961,58","0,95","0,12","1,23 %","3,70 %","7,80 %","15,58 %","1,23 %","1,30 %","1,30 %","15,58 %","0,21 %","1,45 %","14,78 %","658.568.517,21","9,68","0,95","1,19 %","1,28 %","2,48 %","15,26 %",0,"12,34",85.482,N/A,N/A,N/A
RZAK11,PAPÉIS,"88,00","2.639.241,61","0,96","1,12","1,26 %","3,99 %","7,83 %","15,51 %","1,33 %","1,31 %","1,29 %","15,51 %","1,60 %","2,88 %","6,37 %","804.940.205,04","91,39","0,96","1,23 %","-2,48 %","-1,28 %","9,36 %",0,"17,27",51.311,N/A,N/A,N/A
RZAT11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"94,81","1.073.025,81","0,95","1,10","1,14 %","3,59 %","6,10 %","13,81 %","1,20 %","1,02 %","1,15 %","13,81 %","4,82 %","6,01 %","23,90 %","370.996.795,08",N/A,N/A,N/A,N/A,N/A,N/A,11,"18,04",38.743,N/A,N/A,N/A
RZTR11,MISTO,"102,54","2.861.079,44","1,03","1,10","1,01 %","3,75 %","6,60 %","12,43 %","1,25 %","1,10 %","1,04 %","12,43 %","6,21 %","7,28 %","22,67 %","1.388.590.847,17","99,40","1,03","1,11 %","2,02 %","3,15 %","14,99 %",17,"18,08",97.594,N/A,N/A,N/A
SADI11,PAPÉIS,"89,99","398.349,83","0,93","1,02","1,16 %","3,50 %","6,93 %","14,02 %","1,17 %","1,16 %","1,17 %","14,02 %","3,03 %","4,22 %","9,71 %","148.657.946,28","95,99","0,94","1,06 %","-3,08 %","-2,05 %","8,63 %",0,"9,76",10.813,N/A,N/A,N/A
SARE11,MISTO,"47,00","1.306.450,36","0,53","0,45","0,91 %","2,77 %","5,31 %","11,37 %","0,92 %","0,89 %","0,95 %","11,37 %","3,51 %","4,45 %","-18,70 %","827.310.388,30","89,59","0,52","0,50 %","-5,07 %","-4,59 %","-1,85 %",3,"21,37",43.971,N/A,N/A,N/A
SCPF11,SHOPPINGS,"4,55","6.948,75","0,38","0,02","0,39 %","0,99 %","2,26 %","5,70 %","0,33 %","0,38 %","0,48 %","5,04 %","-5,08 %","-4,71 %","-12,31 %","49.847.282,95","11,87","0,38","0,15 %","1,37 %","1,52 %","-3,01 %",1,"27,99",5.036,N/A,N/A,N/A
SDIL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"96,50","1.030.917,86","1,01","0,75","0,76 %","2,49 %","5,22 %","10,27 %","0,83 %","0,87 %","0,86 %","6,12 %","2,04 %","2,82 %","10,51 %","612.048.658,06","98,33","0,98","0,83 %","-0,22 %","0,61 %","9,86 %",5,"14,97",63.292,N/A,N/A,N/A
SEED11,INDEFINIDO,"100,83","100.830,00","1,05","0,82","0,00 %","0,82 %","2,07 %","3,23 %","0,27 %","0,35 %","0,27 %","3,23 %","0,00 %","0,00 %",N/A,"156.783.685,69",N/A,N/A,N/A,N/A,N/A,N/A,0,"16,25",125,N/A,N/A,N/A
SEQR11,MISTO,"58,24","102.379,72","0,64","0,72","1,18 %","3,63 %","6,96 %","13,78 %","1,21 %","1,16 %","1,15 %","13,78 %","3,18 %","4,40 %","12,60 %","151.618.163,99","91,02","0,64","0,79 %","-2,92 %","-2,16 %","3,58 %",4,"10,82",5.595,N/A,N/A,N/A
SHOP11,SHOPPINGS,"59,29","210,71","1,24","6,75",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"71.058.750,70",N/A,N/A,N/A,N/A,N/A,N/A,1,"27,98",53,N/A,N/A,N/A
SHPH11,SHOPPINGS,"880,00","138.691,25","0,95","5,10","0,60 %","1,72 %","3,20 %","7,02 %","0,57 %","0,53 %","0,59 %","7,02 %","4,29 %","4,92 %","23,78 %","563.132.086,63","924,76","0,95","0,55 %","3,42 %","3,99 %","9,11 %",1,"30,08",2.434,N/A,N/A,N/A
SHSO11,INDEFINIDO,N/A,N/A,N/A,"0,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"19.769.049,00",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A
SIGR11,INDEFINIDO,"95,00","8.625,65","0,94","0,15","0,16 %","0,16 %","0,16 %","0,16 %","0,05 %","0,03 %","0,01 %","0,16 %","0,00 %","0,00 %",N/A,"39.745.199,02",N/A,N/A,N/A,N/A,N/A,N/A,0,"10,55",66,N/A,N/A,N/A
SNAG11,PAPÉIS,"10,05","1.728.746,08","1,00","0,11","1,04 %","3,22 %","6,51 %","13,34 %","1,07 %","1,09 %","1,11 %","13,34 %","0,10 %","1,14 %","13,62 %","502.859.127,56","10,06","1,00","1,04 %","-90,07 %","-89,96 %","-89,64 %",0,"5,21",78.093,N/A,N/A,N/A
SNCI11,PAPÉIS,"99,70","730.633,69","0,98","1,00","1,00 %","3,00 %","5,99 %","12,45 %","1,00 %","1,00 %","1,04 %","12,45 %","0,05 %","1,05 %","15,05 %","426.083.415,68","101,45","0,98","0,99 %","4,16 %","5,18 %","15,59 %",0,"8,95",43.231,N/A,N/A,N/A
SNEL11,INDEFINIDO,"126,37","695.838,97","1,28","1,55","1,23 %","2,48 %","2,48 %","2,48 %","1,24 %","1,24 %","1,24 %","2,48 %","2,12 %","3,37 %","3,37 %","48.858.354,25",N/A,N/A,N/A,N/A,N/A,N/A,0,"23,83",5.194,N/A,N/A,N/A
SNFF11,FUNDO DE FUNDOS,"85,70","540.991,89","0,94","0,65","0,73 %","2,92 %","5,06 %","9,58 %","0,97 %","0,84 %","0,80 %","9,58 %","-1,40 %","-0,68 %","10,62 %","260.196.909,41","91,94","0,93","0,71 %","3,88 %","4,61 %","6,36 %",0,"15,02",29.716,N/A,N/A,N/A
SNID11,FUNDO DE DESENVOLVIMENTO,"104,85","276.649,25",N/A,"1,15","1,09 %","3,32 %","6,72 %","11,25 %","1,11 %","1,12 %","0,94 %","13,50 %","1,54 %","2,64 %","16,46 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"4,47",0,N/A,N/A,N/A
SNLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"23,26","76.227,86","0,87","0,35","0,99 %","2,68 %","5,21 %","11,52 %","0,89 %","0,87 %","0,96 %","1,85 %","-12,69 %","-11,83 %","-14,27 %","65.477.185,63",N/A,N/A,N/A,N/A,N/A,N/A,2,"34,44",3.730,N/A,N/A,N/A
SNME11,INDEFINIDO,"10,45","47.195,00","1,09","0,12","1,13 %","1,13 %","1,13 %","1,13 %","1,13 %","1,13 %","1,13 %","1,13 %","0,00 %","0,00 %",N/A,"49.200.037,25",N/A,N/A,N/A,N/A,N/A,N/A,0,"77,70",146,N/A,N/A,N/A
SOLR11,IMÓVEIS COMERCIAIS - OUTROS,"1.128,06","1.058,50","1,19","4,77","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"59.640.257,20",N/A,N/A,N/A,N/A,N/A,N/A,1,"102,03",52,N/A,N/A,N/A
SPMO11,INDEFINIDO,"120,00","166.638,78","0,78","0,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"277.286.683,78",N/A,N/A,N/A,N/A,N/A,N/A,0,"0,42",8,N/A,N/A,N/A
SPTW11,LAJES CORPORATIVAS,"43,76","141.635,72","0,76","0,65","1,52 %","3,74 %","6,93 %","13,22 %","1,25 %","1,16 %","1,10 %","13,22 %","2,71 %","4,27 %","19,89 %","103.912.577,29","57,79","0,76","1,12 %","3,68 %","4,84 %","20,39 %",1,"12,57",25.719,N/A,N/A,N/A
SPVJ11,SHOPPINGS,N/A,N/A,N/A,"0,68","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"733.022.162,49","116,13",N/A,"0,59 %","-0,09 %","0,49 %","16,77 %",14,N/A,27,N/A,N/A,N/A
SPXS11,INDEFINIDO,"9,37","551.620,25","0,97","0,09","0,97 %","2,94 %","6,60 %","13,87 %","0,98 %","1,10 %","1,16 %","13,87 %","5,03 %","6,05 %","17,93 %","194.910.395,05",N/A,N/A,N/A,N/A,N/A,N/A,0,"21,81",7.955,N/A,N/A,N/A
SRVD11,INDEFINIDO,"3,00","233,91","583,00","0,20","2,29 %","3,30 %","3,30 %","3,30 %","1,65 %","1,65 %","1,65 %","3,30 %","-9,79 %","-7,73 %","-7,73 %","-834.096,27","1,19","2,53","16,87 %","-0,11 %","16,74 %","25,64 %",0,"122,94",106,N/A,N/A,N/A
STRX11,FUNDO DE DESENVOLVIMENTO,"168,00","1.428,00","1,14","0,76","0,45 %","0,45 %","0,45 %","0,45 %","0,15 %","0,08 %","0,04 %","0,45 %","0,00 %","0,00 %",N/A,"237.374.028,48","147,11","1,14","0,52 %","-0,82 %","-0,30 %","11,78 %",3,N/A,89,N/A,N/A,N/A
TCPF11,MISTO,"1,26",N/A,"0,01","1,52","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"34.379.751,04",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,52,N/A,N/A,N/A
TEPP11,LAJES CORPORATIVAS,"94,10","1.095.259,17","0,97","0,90","0,98 %","2,38 %","4,32 %","8,86 %","0,79 %","0,72 %","0,74 %","8,86 %","-1,00 %","-0,03 %","50,45 %","408.543.303,66","96,77","0,97","0,93 %","1,10 %","2,04 %","13,88 %",5,"20,52",21.472,N/A,N/A,N/A
TGAR11,FUNDO DE DESENVOLVIMENTO,"122,45","7.073.676,92","0,99","1,32","1,08 %","3,46 %","6,88 %","13,76 %","1,15 %","1,15 %","1,15 %","13,76 %","0,92 %","2,01 %","14,66 %","2.364.894.946,54","123,42","0,99","1,07 %","-3,41 %","-2,38 %","8,85 %",8,"12,20",140.200,N/A,N/A,N/A
TJKB11,INDEFINIDO,"262,51","2.425,00","0,97","2,84","0,00 %","0,95 %","0,95 %","1,88 %","0,32 %","0,16 %","0,16 %","1,88 %","0,00 %","0,00 %",N/A,"205.051.412,28",N/A,N/A,N/A,N/A,N/A,N/A,7,"33,47",82,N/A,N/A,N/A
TMPS11,FUNDO DE FUNDOS,"97,32","132.354,86","0,93","1,11","1,17 %","3,14 %","5,30 %","6,55 %","1,05 %","0,88 %","1,09 %","6,55 %","1,33 %","2,52 %","-2,63 %","102.808.938,20",N/A,N/A,N/A,N/A,N/A,N/A,0,"20,80",1.848,N/A,N/A,N/A
TORD11,MISTO,"2,12","148.343,64","0,17","0,05","0,90 %","2,51 %","5,20 %","11,46 %","0,84 %","0,87 %","0,96 %","0,90 %","-24,53 %","-23,85 %","-23,85 %","449.083.764,22","13,99","0,15","0,36 %","8,62 %","9,01 %","12,88 %",1,"40,25",92.380,N/A,N/A,N/A
TRBL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"98,45","726.108,11","1,00","0,72","0,74 %","2,21 %","4,41 %","9,77 %","0,74 %","0,74 %","0,81 %","9,77 %","0,50 %","1,25 %","13,13 %","626.900.706,27",N/A,N/A,N/A,N/A,N/A,N/A,5,"12,43",61.574,N/A,N/A,N/A
TRNT11,LAJES CORPORATIVAS,"122,44","37.800,19","0,61","0,22","0,18 %","0,53 %","0,87 %","2,48 %","0,18 %","0,15 %","0,21 %","2,48 %","1,27 %","1,45 %","-21,49 %","776.089.297,63","197,20","0,62","0,11 %","0,16 %","0,27 %","-1,01 %",1,"46,81",681,N/A,N/A,N/A
TRXB11,FUNDO DE DESENVOLVIMENTO,"137,51","1.426,23","1,22","2,21","0,00 %","2,31 %","3,82 %","8,28 %","0,77 %","0,64 %","0,69 %","8,28 %","0,00 %","0,00 %",N/A,"360.509.003,67",N/A,N/A,N/A,N/A,N/A,N/A,12,"62,14",221,N/A,N/A,N/A
TRXF11,IMÓVEIS COMERCIAIS - OUTROS,"111,22","10.855.226,44","1,03","1,70","1,52 %","3,18 %","5,57 %","10,46 %","1,06 %","0,93 %","0,87 %","10,46 %","2,79 %","4,35 %","17,94 %","1.654.260.300,76","107,61","1,03","1,58 %","2,05 %","3,66 %","20,29 %",30,"8,56",126.610,N/A,N/A,N/A
TSER11,LAJES CORPORATIVAS,"100,00","600,00","0,98","0,94","0,00 %","1,82 %","2,72 %","5,49 %","0,61 %","0,45 %","0,46 %","5,49 %","0,00 %","0,00 %",N/A,"131.549.740,54",N/A,N/A,N/A,N/A,N/A,N/A,1,"87,93",28,N/A,N/A,N/A
TVRI11,AGÊNCIAS DE BANCOS,"105,00","1.439.859,28","1,06","0,91","0,93 %","2,87 %","5,63 %","11,72 %","0,96 %","0,94 %","0,98 %","11,72 %","3,70 %","4,66 %","28,59 %","1.578.791.878,45",N/A,N/A,N/A,N/A,N/A,N/A,63,"12,64",71.716,N/A,N/A,N/A
URPR11,PAPÉIS,"90,03","1.803.181,58","0,86","1,11","1,27 %","3,87 %","7,43 %","15,55 %","1,29 %","1,24 %","1,30 %","15,55 %","3,02 %","4,33 %","1,12 %","1.212.537.669,48","103,86","0,87","1,07 %","5,11 %","6,23 %","31,50 %",0,"14,92",90.295,N/A,N/A,N/A
VCJR11,PAPÉIS,"95,22","1.820.041,31","0,98","0,90","0,95 %","2,77 %","4,84 %","12,19 %","0,92 %","0,81 %","1,02 %","12,19 %","5,15 %","6,15 %","17,63 %","1.435.144.945,67","97,47","0,98","0,92 %","3,42 %","4,37 %","17,70 %",0,"12,38",26.122,N/A,N/A,N/A
VCRA11,INDEFINIDO,"90,55","901.343,28","0,89","1,10","1,15 %","3,53 %","7,20 %","14,72 %","1,18 %","1,20 %","1,23 %","14,72 %","7,33 %","8,57 %","4,24 %","474.926.202,97","103,38","0,88","1,06 %","0,97 %","2,05 %","3,54 %",0,"16,05",9.171,N/A,N/A,N/A
VCRI11,PAPÉIS,"8,58","278.444,61","0,89","0,09","1,01 %","2,91 %","5,93 %","13,83 %","0,97 %","0,99 %","1,15 %","13,83 %","4,35 %","5,40 %","6,15 %","172.130.738,18","9,68","0,89","0,88 %","2,43 %","3,33 %","5,17 %",0,"11,90",12.030,N/A,N/A,N/A
VCRR11,IMÓVEIS RESIDENCIAIS,"71,19","263.765,78","0,54","0,75","1,11 %","3,15 %","5,81 %","11,35 %","1,05 %","0,97 %","0,95 %","11,35 %","-1,82 %","-0,73 %","2,93 %","261.923.164,67","130,96","0,54","0,57 %","2,12 %","2,71 %","17,67 %",0,"18,78",4.262,N/A,N/A,N/A
VGHF11,MISTO,"9,68","3.969.134,33","1,04","0,10","1,05 %","3,30 %","6,82 %","13,85 %","1,10 %","1,14 %","1,15 %","13,85 %","3,02 %","4,10 %","16,72 %","1.540.362.286,24","9,35","1,04","1,07 %","2,07 %","3,17 %","16,41 %",0,"11,12",342.991,N/A,N/A,N/A
VGIA11,INDEFINIDO,"8,94","3.714.146,72","0,93","0,12","1,37 %","3,59 %","7,55 %","16,13 %","1,20 %","1,26 %","1,34 %","16,13 %","4,02 %","5,45 %","5,70 %","825.025.000,36","9,54","0,94","1,30 %","0,12 %","1,42 %","9,68 %",0,"14,36",163.632,N/A,N/A,N/A
VGIP11,PAPÉIS,"90,31","1.648.565,14","0,97","0,76","0,85 %","2,58 %","5,07 %","12,20 %","0,86 %","0,85 %","1,02 %","12,20 %","3,97 %","4,86 %","17,66 %","1.103.957.275,30","93,66","0,96","0,81 %","3,56 %","4,40 %","13,49 %",0,"13,84",89.389,N/A,N/A,N/A
VGIR11,PAPÉIS,"9,66","4.146.342,06","1,00","0,11","1,11 %","3,45 %","7,21 %","14,95 %","1,15 %","1,20 %","1,25 %","14,95 %","1,02 %","2,14 %","17,08 %","995.264.979,41","9,64","1,00","1,14 %","0,00 %","1,14 %","-88,87 %",0,"10,79",232.865,N/A,N/A,N/A
VIDS11,FUNDO DE DESENVOLVIMENTO,N/A,N/A,N/A,"30,17","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"78.162.980,01",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,199,N/A,N/A,N/A
VIFI11,FUNDO DE FUNDOS,"8,28","257.802,22","0,88","0,07","0,84 %","2,58 %","5,08 %","10,63 %","0,86 %","0,85 %","0,89 %","10,63 %","2,72 %","3,59 %","32,00 %","75.546.620,72","9,34","0,89","0,75 %","5,54 %","6,33 %","-67,48 %",0,"15,62",6.380,N/A,N/A,N/A
VIGT11,N/A,"73,20","1.048.526,00",N/A,"2,40","3,13 %","9,18 %","18,81 %","30,13 %","3,06 %","3,14 %","3,35 %","12,70 %","-3,14 %","-0,11 %","20,51 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"16,70",0,N/A,N/A,N/A
VILG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"92,25","2.955.413,25","0,81","0,64","0,64 %","1,98 %","3,94 %","8,06 %","0,66 %","0,66 %","0,67 %","8,06 %","2,13 %","2,78 %","7,65 %","1.711.089.166,83","114,09","0,81","0,56 %","1,62 %","2,19 %","8,51 %",14,"19,04",162.062,N/A,N/A,N/A
VINO11,LAJES CORPORATIVAS,"8,11","1.037.669,75","0,75","0,06","0,76 %","2,30 %","4,32 %","8,64 %","0,77 %","0,72 %","0,72 %","8,64 %","-0,39 %","0,37 %","-12,53 %","897.853.061,93","10,84","0,75","0,54 %","-80,20 %","-80,10 %","-78,91 %",10,"23,04",147.056,N/A,N/A,N/A
VISC11,SHOPPINGS,"121,14","7.806.826,00","0,91","1,00","0,81 %","2,50 %","4,74 %","9,25 %","0,83 %","0,79 %","0,77 %","9,25 %","4,10 %","4,95 %","27,83 %","2.840.393.253,01","133,71","0,91","0,75 %","7,98 %","8,79 %","25,00 %",20,"12,71",275.919,N/A,N/A,N/A
VIUR11,MISTO,"7,79","403.803,67","0,87","0,07","0,90 %","2,70 %","5,30 %","11,35 %","0,90 %","0,88 %","0,95 %","11,35 %","0,00 %","0,90 %","13,09 %","241.376.040,40","8,96","0,87","0,80 %","-2,61 %","-1,83 %","-89,77 %",8,"14,11",49.606,N/A,N/A,N/A
VJFD11,PAPÉIS,N/A,N/A,N/A,"0,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"664.512.886,86","136,28",N/A,"0,55 %","0,15 %","0,71 %","6,51 %",39,N/A,97,N/A,N/A,N/A
VLIQ11,INDEFINIDO,N/A,N/A,N/A,"5,04","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A
VLOL11,LAJES CORPORATIVAS,"98,00","160.238,13","0,88","16,30",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"198.219.080,15","111,06","0,88","0,55 %","-0,14 %","0,40 %","14,11 %",1,"16,71",3.127,N/A,N/A,N/A
VOTS11,PAPÉIS,"83,51","12.636,34","0,89","0,95","0,00 %","2,25 %","5,21 %","12,45 %","0,75 %","0,87 %","1,04 %","13,91 %","0,00 %","0,00 %",N/A,"78.013.384,44","94,23","0,89","1,01 %","1,01 %","2,03 %","11,20 %",0,"20,81",691,N/A,N/A,N/A
VRTA11,PAPÉIS,"87,95","2.382.625,42","0,93","0,75","0,84 %","2,42 %","4,71 %","11,22 %","0,81 %","0,79 %","0,94 %","11,22 %","0,35 %","1,19 %","11,96 %","1.467.190.277,61","94,10","0,93","0,80 %","3,21 %","4,04 %","13,45 %",0,"10,35",123.262,N/A,N/A,N/A
VSEC11,PAPÉIS,"0,21","2,50","0,07","2,05",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"182.284,39",N/A,N/A,N/A,N/A,N/A,N/A,0,"1.340,33",64,N/A,N/A,N/A
VSHO11,SHOPPINGS,"82,91","64.864,39","0,82","0,70","0,83 %","2,73 %","5,55 %","11,64 %","0,91 %","0,93 %","0,97 %","11,64 %","5,31 %","6,18 %","39,30 %","212.095.101,51","101,06","0,82","0,69 %","1,70 %","2,41 %","7,15 %",3,"17,86",3.835,N/A,N/A,N/A
VSLH11,PAPÉIS,"4,16","261.293,33","0,39","0,04","0,94 %","3,06 %","5,56 %","10,15 %","1,02 %","0,93 %","0,85 %","10,15 %","3,16 %","4,13 %","-48,27 %","320.294.174,01","10,73","0,39","0,37 %","3,27 %","3,66 %","23,42 %",0,"47,77",87.757,N/A,N/A,N/A
VTLT11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"95,83","120.975,08","0,85","0,89","0,90 %","2,73 %","5,40 %","11,13 %","0,91 %","0,90 %","0,93 %","11,13 %","3,45 %","4,38 %","18,29 %","237.986.610,72","112,52","0,85","0,79 %","11,70 %","12,59 %","20,93 %",1,"18,16",6.052,N/A,N/A,N/A
VTPL11,PAPÉIS,N/A,N/A,N/A,"5,11","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"100.251.377,59",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,1,N/A,N/A,N/A
VVCO11,LAJES CORPORATIVAS,"13,69","335.671,42","1,00","11,16","62,87 %","62,87 %","62,87 %","62,87 %","62,87 %","62,87 %","62,87 %","62,87 %","0,00 %","0,00 %",N/A,"135.713.104,79",N/A,N/A,N/A,N/A,N/A,N/A,1,"24,51",3.630,N/A,N/A,N/A
VVCR11,PAPÉIS,"20,60","146.542,78","0,96","0,31","1,48 %","2,87 %","4,56 %","24,75 %","0,96 %","0,76 %","2,06 %","32,73 %","9,95 %","11,57 %","-5,66 %","40.569.409,52",N/A,N/A,N/A,N/A,N/A,N/A,0,"40,25",2.767,N/A,N/A,N/A
VVPR11,MISTO,"101,50","1.249.061,55","1,04","0,89","0,89 %","2,47 %","4,88 %","9,72 %","0,82 %","0,81 %","0,81 %","6,65 %","0,40 %","1,30 %","15,02 %","226.032.234,18","98,03","1,04","0,74 %","-0,10 %","0,64 %","0,09 %",6,"3,43",1.372,N/A,N/A,N/A
VVRI11,INDEFINIDO,"97,97","167.107,64","0,89","1,63","1,67 %","4,28 %","8,21 %","12,75 %","1,43 %","1,37 %","1,42 %","12,75 %","-1,42 %","0,23 %","10,44 %","43.880.528,19",N/A,N/A,N/A,N/A,N/A,N/A,1,"26,13",133,N/A,N/A,N/A
VXXV11,FUNDO DE DESENVOLVIMENTO,"1.020,00","4.013.292,00","0,89","10,76","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"307.599.106,69",N/A,N/A,N/A,N/A,N/A,N/A,2,"8,78",20,N/A,N/A,N/A
WPLZ11,SHOPPINGS,"66,97","3.993,47","0,75","0,41","0,63 %","2,01 %","3,78 %","7,92 %","0,67 %","0,63 %","0,66 %","7,92 %","8,06 %","8,74 %","-13,00 %","94.775.659,80","89,03","0,75","0,46 %","1,40 %","1,87 %","-8,47 %",1,"39,04",1.874,N/A,N/A,N/A
WSEC11,INDEFINIDO,"84,39","22.178,77","0,84","1,00","1,19 %","3,98 %","7,14 %","14,05 %","1,33 %","1,19 %","1,17 %","16,40 %","-1,76 %","-0,59 %","2,23 %","24.781.361,10",N/A,N/A,N/A,N/A,N/A,N/A,0,"10,24",476,N/A,N/A,N/A
WTSP11B,MISTO,"36,00","3.852,00","0,45","1,15","0,00 %","0,00 %","1,09 %","3,56 %","0,00 %","0,18 %","0,30 %","3,56 %","0,00 %","0,00 %",N/A,"79.374.720,64","79,97","0,45","1,44 %","10,33 %","11,92 %","8,77 %",2,"91,66",215,N/A,N/A,N/A
XPCA11,INDEFINIDO,"9,50","1.776.652,25","1,00","0,12","1,29 %","3,64 %","7,49 %","15,20 %","1,21 %","1,25 %","1,27 %","15,20 %","0,00 %","1,29 %","12,31 %","432.330.451,69","9,50","1,00","1,26 %","0,10 %","1,36 %","14,00 %",0,"11,44",94.546,N/A,N/A,N/A
XPCI11,PAPÉIS,"88,37","1.757.463,81","0,94","0,76","0,87 %","2,89 %","6,15 %","13,00 %","0,96 %","1,03 %","1,08 %","13,00 %","1,18 %","2,06 %","21,67 %","814.257.093,26","93,58","0,94","0,81 %","1,91 %","2,73 %","11,82 %",0,"14,68",77.104,N/A,N/A,N/A
