FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
GTLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"63,99","22.885,25","1,06","60,62",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"434.811.690,70","60,62","1,06","100,00 %","-35,83 %","28,33 %","35,22 %",5,"47,35",341,N/A,N/A,N/A
GTWR11,LAJES CORPORATIVAS,"86,78","1.128.231,03","0,86","0,79","0,91 %","2,85 %","5,64 %","11,78 %","0,95 %","0,94 %","0,98 %","11,78 %","5,83 %","6,80 %","23,17 %","1.213.089.085,34","101,09","0,86","0,78 %","6,75 %","7,58 %","13,26 %",3,"14,19",34.459,N/A,N/A,N/A
GURB11,INDEFINIDO,"108,00","5.773.890,80","0,97","0,70","0,65 %","0,65 %","0,65 %","1,48 %","0,22 %","0,11 %","0,12 %","1,48 %","0,00 %","0,00 %",N/A,"126.319.662,38",N/A,N/A,N/A,N/A,N/A,N/A,2,"10,49",21,N/A,N/A,N/A
GZIT11,INDEFINIDO,N/A,N/A,N/A,"0,63","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"2.094.963.652,13",N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,1,N/A,N/A,N/A
HAAA11,LAJES CORPORATIVAS,"43,71","3.286,45","0,55","0,37","0,72 %","1,86 %","3,29 %","6,60 %","0,62 %","0,55 %","0,55 %","6,60 %","8,13 %","8,91 %","-34,91 %","276.171.447,33","79,93","0,55","0,46 %","-10,85 %","-10,44 %","-8,99 %",2,"34,56",310,N/A,N/A,N/A
HABT11,PAPÉIS,"90,22","1.415.360,67","0,91","0,98","1,08 %","3,34 %","6,68 %","14,94 %","1,11 %","1,11 %","1,25 %","14,94 %","3,29 %","4,41 %","17,33 %","800.986.465,92","98,56","0,92","0,99 %","-1,22 %","-0,24 %","16,80 %",0,"13,31",70.267,N/A,N/A,N/A
HBCR11,INDEFINIDO,"117,49","5.156.009,67","0,98","0,69","0,58 %","1,12 %","1,57 %","3,11 %","0,37 %","0,26 %","0,26 %","3,11 %","0,00 %","0,00 %",N/A,"137.023.129,32",N/A,N/A,N/A,N/A,N/A,N/A,4,"22,13",44,N/A,N/A,N/A
HBRH11,LAJES CORPORATIVAS,"90,79","749.940,86","0,81","0,66","0,71 %","1,53 %","3,20 %","7,14 %","0,51 %","0,53 %","0,60 %","7,14 %","-3,09 %","-2,40 %","15,48 %","309.724.739,52","111,73","0,81","0,59 %","-1,30 %","-0,72 %","7,27 %",5,"13,97",951,N/A,N/A,N/A
HCHG11,PAPÉIS,"75,12","24.929,78","0,75","0,69","0,86 %","2,23 %","4,81 %","12,06 %","0,74 %","0,80 %","1,01 %","12,06 %","2,30 %","3,18 %","5,26 %","120.264.305,17","100,22","0,75","0,69 %","-0,89 %","-0,21 %","15,25 %",0,"31,19",977,N/A,N/A,N/A
HCRA11,INDEFINIDO,"104,56","1.343,50",N/A,"1,06","1,03 %","3,25 %","6,93 %","10,60 %","1,08 %","1,16 %","0,88 %","10,60 %","-0,09 %","0,94 %","7,69 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"21,42",0,N/A,N/A,N/A
HCRI11,HOSPITALAR,"305,77","57.945,61","0,96","3,42","1,12 %","3,13 %","5,84 %","12,38 %","1,04 %","0,97 %","1,03 %","12,38 %","0,10 %","1,22 %","51,23 %","63.737.620,04","318,69","0,96","1,07 %","3,48 %","4,60 %","11,94 %",1,"20,60",3.230,N/A,N/A,N/A
HCTR11,PAPÉIS,"36,72","1.519.649,44","0,32","0,35","0,91 %","2,74 %","5,08 %","10,49 %","0,91 %","0,85 %","0,87 %","10,49 %","5,75 %","6,71 %","-57,68 %","2.571.174.509,88","116,43","0,32","0,30 %","-4,08 %","-3,79 %","13,43 %",0,"54,63",190.582,N/A,N/A,N/A
HDEL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"107,50","21.500,00","1,27","5,95","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"71.230.397,08",N/A,N/A,N/A,N/A,N/A,N/A,0,"7,30",61,N/A,N/A,N/A
HFOF11,FUNDO DE FUNDOS,"78,15","2.670.341,67","0,95","0,63","0,79 %","2,49 %","4,83 %","10,33 %","0,83 %","0,81 %","0,86 %","10,33 %","9,27 %","10,14 %","27,23 %","1.885.956.205,81","81,84","0,95","0,77 %","1,19 %","1,97 %","6,20 %",0,"14,34",77.365,N/A,N/A,N/A
HGAG11,INDEFINIDO,"25,50","14.025,14","1,07","0,33","1,40 %","2,79 %","5,19 %","13,36 %","0,93 %","0,87 %","1,11 %","13,36 %","4,68 %","6,14 %","-0,79 %","5.904.259,18","23,78","1,07","1,39 %","0,00 %","0,00 %","0,00 %",0,"62,27",1.409,N/A,N/A,N/A
HGBS11,SHOPPINGS,"228,54","5.812.212,94","0,99","2,00","0,87 %","2,64 %","5,05 %","9,45 %","0,88 %","0,84 %","0,79 %","9,45 %","3,38 %","4,28 %","33,34 %","2.947.185.782,33","231,52","0,99","0,86 %","4,33 %","5,23 %","16,50 %",13,"10,40",105.410,N/A,N/A,N/A
HGCR11,PAPÉIS,"106,07","3.432.348,25","1,05","1,00","0,95 %","2,85 %","5,93 %","12,92 %","0,95 %","0,99 %","1,08 %","12,92 %","1,19 %","2,16 %","17,02 %","1.578.631.504,92","102,39","1,04","0,98 %","1,42 %","2,41 %","16,45 %",0,"10,65",103.639,N/A,N/A,N/A
